product_id,name,Model,sku,UPC,URL,Image_URL,category_tree,QTY,price,Special_price,Cost_price,shipping,Status
5596,Disney Princess Toddler Doll - Ariel,75024,12D-D37-75024,678352750241,http://www.icuracao.com/disney-princess-toddler-doll-ariel.html,http://www.icuracao.com/media/catalog/product/1/2/12d-d37-75024..jpg,Kids & Babies_Toys_Dolls,6.0000,29.9900,19.9500,12.3500,5.99,1
5597,Disney Princess Toddler - Cinderella,75026,12D-D37-75026,678352750265,http://www.icuracao.com/mu-eca-disney-princess-cinderella.html,http://www.icuracao.com/media/catalog/product/1/2/12d-d37-75026..jpg,Kids & Babies_Toys_Dolls,6.0000,29.9900,19.9500,12.3500,5.99,1
5599,Disney Princess Toddler Doll - Belle,75027,12D-D37-75027,678352750272,http://www.icuracao.com/disney-princess-toddler-doll-belle.html,http://www.icuracao.com/media/catalog/product/1/2/12d-d37-75027..jpg,Kids & Babies_Toys_Dolls,6.0000,29.9900,19.9500,12.3500,5.99,1
5600,Christian Van Sant Men Big Date ,CV0311,CV0311,728795396923,http://www.icuracao.com/christian-van-sant-men-big-date.html,http://www.icuracao.com/media/catalog/product/c/v/cv0311_4.jpg,Fashion & Beauty_Watches,29.0000,595.0000,,99.0000,2.99,1
5601,Sunrise Metal Twin / Futon Bunk Bed - White,BTOFWH,BTOFWH,812492010388,http://www.icuracao.com/futon-sunrise-metal-twin-doble-cama-blanco.html,http://www.icuracao.com/media/catalog/product/w/a/walker_btofwh.500x500..jpg,For The Home_Kids & Babies_Furniture_Furniture_Bedroom_Mattress & Beds_Kids & Teens,5.0000,469.9900,,224.0000,109.99,1
5602,Disney Princess Toddler Doll - Mulan,75115,12D-D37-75115,678352751156,http://www.icuracao.com/disney-princess-toddler-doll-mulan.html,http://www.icuracao.com/media/catalog/product/1/2/12d-d37-75115..jpg,Kids & Babies_Toys_Dolls,6.0000,29.9900,19.9500,12.3500,5.99,1
5604,Sunset Metal Twin / Double Bunk Bed - Black,BTODBL,BTODBL,812492010364,http://www.icuracao.com/litera-sunset-metal-twin-doble-cama-negro-5604.html,http://www.icuracao.com/media/catalog/product/w/a/walker_btodbl.500x500..jpg,For The Home_Kids & Babies_Furniture_Furniture_Bedroom_Mattress & Beds_Kids & Teens,5.0000,379.9900,,189.0000,99.99,1
5606,Twin / Double Solid Wood Bunk Bed - White,BWTODWH,BWTODWH,812492010449,http://www.icuracao.com/litera-twin-doble-madera-maciza-blanco.html,http://www.icuracao.com/media/catalog/product/w/a/walker_bwtodwh.500x500..jpg,For The Home_Kids & Babies_Furniture_Furniture_Bedroom_Mattress & Beds_Kids & Teens,5.0000,549.9900,,279.0000,109.99,1
5607,Huffy 16" Boy's Pro Thunder Bicycle - Black / Red ,21803,12B-796-21803,028914218038,http://www.icuracao.com/bicicleta-huffy-para-ni-os-pro-thunder-de-16-negro-rojo.html,http://www.icuracao.com/media/catalog/product/1/2/12b-796-21803..jpg,Kids & Babies_Toys_Ride-On Toys,3.0000,89.9900,74.9500,45.8600,19.99,1
5608,Accent Pillows - Vintage,905002,905002,,http://www.icuracao.com/accent-pillows-vintage.html,http://www.icuracao.com/media/catalog/product/9/0/905002_1__6.jpg,For The Home_Furniture_Home Décor,17.0000,44.9900,,23.0000,2.99,1
5609,Twin / Double Solid Wood Bunk Bed - Brown,BWTODWB,BWTODWB,812492010432,http://www.icuracao.com/litera-twin-doble-madera-maciza-marron.html,http://www.icuracao.com/media/catalog/product/w/a/walker_bwtodwb.3.500x500..jpg,For The Home_Kids & Babies_Furniture_Furniture_Bedroom_Mattress & Beds_Kids & Teens,5.0000,549.9900,,279.0000,109.99,1
5612,Accent Pillows- Illusion,905005,905005,,http://www.icuracao.com/accent-pillow-illusion.html,http://www.icuracao.com/media/catalog/product/9/0/905005_3.jpg,For The Home_Furniture_Home Décor,49.0000,44.9900,,23.0000,2.99,1
5615,Twin / Twin Solid Wood Bunk Bed - Espresso,BWSTOTES,BWSTOTES,812492011354,http://www.icuracao.com/twin-twin-solid-wood-bunk-bed-espresso.html,http://www.icuracao.com/media/catalog/product/w/a/walker_bwstotes.500x500..jpg,For The Home_Kids & Babies_Furniture_Furniture_Bedroom_Mattress & Beds_Kids & Teens,5.0000,399.9900,,199.0000,99.99,1
5616,Twin / Twin Solid Wood Bunk Bed - Cherry,BWSTOTCH,BWSTOTCH,812492011361,http://www.icuracao.com/twin-twin-solid-wood-bunk-bed-cherry.html,http://www.icuracao.com/media/catalog/product/w/a/walker_bwstotch.500x500..jpg,For The Home_Kids & Babies_Furniture_Furniture_Bedroom_Mattress & Beds_Kids & Teens,5.0000,399.9900,,199.0000,99.99,1
5617,Heiress by Paris Hilton 2 pc Set for Women ,196631,21A-Q34-196631,883991068903,http://www.icuracao.com/juego-de-perfume-heiress-de-paris-hilton-de-2-piezas.html,http://www.icuracao.com/media/catalog/product/2/1/21a-q34-196631.500x500..jpg,Fashion & Beauty_Fragrance_Women's Fragrance_Gift Sets,2.0000,19.9900,,11.9900,5.99,1
5618,Accent Pillows - Opaque,905006,905006,,http://www.icuracao.com/accent-pillows-opaque.html,http://www.icuracao.com/media/catalog/product/9/0/905006_1_2.jpg,For The Home_Furniture_Home Décor,15.0000,44.9900,39.9900,23.0000,2.99,1
5619,Twin Metal Bed Frame - White,BT40WH,BT40WH,812492011903,http://www.icuracao.com/twin-metal-bed-frame-white.html,http://www.icuracao.com/media/catalog/product/w/a/walker_bt40wh.500x500..jpg,For The Home_Kids & Babies_Furniture_Furniture_Bedroom_Mattress & Beds_Kids & Teens,5.0000,189.9900,,99.0000,49.99,1
5620,Twin Wood Loft Bed with Desk - Espresso,BWTLD46ES,BWTLD46ES,812492012801,http://www.icuracao.com/twin-wood-loft-bed-with-desk-espresso.html,http://www.icuracao.com/media/catalog/product/w/a/walker_bwtld46es.500x500..jpg,For The Home_Kids & Babies_Furniture_Furniture_Bedroom_Mattress & Beds_Kids & Teens,5.0000,449.9900,,229.0000,99.99,1
5621,Twin Wood Loft Bed with Desk - White,BWTLD46WH,BWTLD46WH,812492012818,http://www.icuracao.com/twin-wood-loft-bed-with-desk-white.html,http://www.icuracao.com/media/catalog/product/w/a/walker_bwtld46wh.500x500..jpg,For The Home_Kids & Babies_Furniture_Furniture_Bedroom_Mattress & Beds_Kids & Teens,5.0000,449.9900,,229.0000,99.99,1
