product_id,name,Model,sku,UPC,URL,Image_URL,category_tree,QTY,price,Special_price,Cost_price,shipping,Status
3869,theBalm Shady Lady Palette Volume 3,500428,21 -P20-500428,681619500428,http://www.icuracao.com/thebalm-shady-lady-palette-volume-3.html,http://www.icuracao.com/media/catalog/product/2/1/21_-p20-500428.500x500..jpg,Fashion & Beauty_Cosmetics_Eyes_Eye Shadow_Top Sellers,10.0000,24.9900,,19.7500,5.99,1
3870,theBalm Balmbini Volume 2,501395,21 -P20-501395,681619501395          ,http://www.icuracao.com/thebalm-balmbini-volume-2.html,http://www.icuracao.com/media/catalog/product/2/1/21_-p20-501395.500x500..jpg,Fashion & Beauty_Cosmetics_Eyes_Eye Shadow,9.0000,28.0000,,14.0000,5.99,1
3871,theBalm TimeBalm Foundation - Light,200236,21 -P20-200236,681619200236          ,http://www.icuracao.com/thebalm-timebalm-foundation-light.html,http://www.icuracao.com/media/catalog/product/2/1/21_-p20-200236.500x500..jpg,Fashion & Beauty_Cosmetics,9.0000,28.0000,,14.0000,5.99,1
3872,theBalm TimeBalm Foundation - Light/Medium,200243,21 -P20-200243,681619200243          ,http://www.icuracao.com/thebalm-timebalm-foundation-light-medium.html,http://www.icuracao.com/media/catalog/product/2/1/21_-p20-200243.500x500..jpg,Fashion & Beauty_Cosmetics,10.0000,28.0000,,14.0000,5.99,1
3873,theBalm TimeBalm Foundation - Medium,200250,21 -P20-200250,681619200250 ,http://www.icuracao.com/thebalm-timebalm-foundation-medium.html,http://www.icuracao.com/media/catalog/product/2/1/21_-p20-200250.500x500..jpg,Fashion & Beauty_Cosmetics,10.0000,28.0000,,14.0000,5.99,1
3874,theBalm TimeBalm Foundation - Mid Medium,200267,21 -P20-200267,681619200267          ,http://www.icuracao.com/thebalm-timebalm-foundation-mid-medium.html,http://www.icuracao.com/media/catalog/product/2/1/21_-p20-200267.500x500..jpg,Fashion & Beauty_Cosmetics,10.0000,28.0000,,14.0000,5.99,1
3875,theBalm TimeBalm Face Primer,200373,21 -P20-200373,681619800061          ,http://www.icuracao.com/thebalm-timebalm-face-primer.html,http://www.icuracao.com/media/catalog/product/2/1/21_-p20-200373.500x500..jpg,Fashion & Beauty_Cosmetics,7.0000,30.0000,,15.0000,5.99,1
3876,theBalm Balms Away,800085,21 -P20-800085,681619800085          ,http://www.icuracao.com/thebalm-balms-away.html,http://www.icuracao.com/media/catalog/product/2/1/21_-p20-800085.500x500..jpg,Fashion & Beauty_Cosmetics,13.0000,20.0000,,10.0000,5.99,1
3877,theBalm Liquid TimeBalm Spot Concealer witn Tea Tree Oil - Fair,200342,21 -P20-200342,681619200342          ,http://www.icuracao.com/thebalm-liquid-timebalm-spot-concealer-witn-tea-tree-oil-fair.html,http://www.icuracao.com/media/catalog/product/2/1/21_-p20-200342.500x500..jpg,Fashion & Beauty_Cosmetics,10.0000,20.0000,,10.0000,5.99,1
3878,theBalm Liquid TimeBalm Spot Concealer witn Tea Tree Oil - Honey,200359,21 -P20-200359,681619200359          ,http://www.icuracao.com/thebalm-liquid-timebalm-spot-concealer-witn-tea-tree-oil-honey.html,http://www.icuracao.com/media/catalog/product/2/1/21_-p20-200359.500x500..jpg,Fashion & Beauty_Cosmetics_Top Sellers,9.0000,20.0000,,10.0000,5.99,1
